trade_date,symbol,industry_id,final_score,alpha_bucket,quality_score,growth_acceleration_score,mainline_strength_score,capital_concentration_score,leader_dominance_score,trend_quality_score,lifecycle_position_score,risk_crowding_score,lifecycle_state,mainline_name,flags
2026-01-05,000001,,0.4227234676478266,AVOID,0.3,0.0,0.5,0.5,0.5,0.45148978431884357,0.5,0.5,,,LOW_ALPHA
2026-01-05,000002,801180.SI,0.42199404654806455,AVOID,0.16,0.0,0.5,0.5,0.5,0.5399603103204302,0.5,0.5,,房地产,FUNDAMENTAL_RISK:NEGATIVE_EARNINGS; LOW_ALPHA
2026-01-05,000004,,0.43401030483711195,AVOID,0.342,0.28,0.5,0.5,0.5,0.3120686989140793,0.5,0.5,,,FUNDAMENTAL_RISK:CASHFLOW_WEAK; LOW_ALPHA
2026-01-05,000006,801180.SI,0.4320539569471358,AVOID,0.336,0.35,0.5,0.5,0.5,0.25635971298090515,0.5,0.5,,房地产,LOW_ALPHA
2026-01-05,000007,,0.5124226203047554,WATCH,0.526,0.68,0.5,0.5,0.5,0.44548413536503567,0.5,0.5,,,NONE
2026-01-05,000009,,0.4653869064153301,NEUTRAL,0.326,0.25,0.5,0.5,0.5,0.5519127094355335,0.5,0.5,,,FUNDAMENTAL_RISK:CASHFLOW_WEAK
2026-01-05,000010,,0.4839604337705951,NEUTRAL,0.35,0.75,0.5,0.5,0.5,0.3264028918039669,0.5,0.5,,,FUNDAMENTAL_RISK:CASHFLOW_WEAK
2026-01-05,000011,801180.SI,0.5162408642252164,WATCH,0.43,0.85,0.5,0.5,0.5,0.42160576150144324,0.5,0.5,,房地产,FUNDAMENTAL_RISK:CASHFLOW_WEAK
2026-01-05,000012,,0.41640078052467283,AVOID,0.27,0.0,0.5,0.5,0.5,0.4293385368311522,0.5,0.5,,,FUNDAMENTAL_RISK:NEGATIVE_EARNINGS; LOW_ALPHA
2026-01-05,000014,801180.SI,0.42117036307353173,AVOID,0.34,0.0,0.5,0.5,0.5,0.4144690871568779,0.5,0.5,,房地产,FUNDAMENTAL_RISK:NEGATIVE_EARNINGS; LOW_ALPHA
2026-01-05,000016,801110.SI,0.4583405560516902,NEUTRAL,0.246,0.35,0.5,0.5,0.5,0.49160370701126777,0.5,0.5,,家用电器,FUNDAMENTAL_RISK:CASHFLOW_WEAK
2026-01-05,000017,,0.5249630773014866,TOP_20,0.5,0.85,0.5,0.5,0.5,0.4330871820099109,0.5,0.5,,,FUNDAMENTAL_RISK:CASHFLOW_WEAK
2026-01-05,000019,,0.4399803710774101,AVOID,0.456,0.15,0.5,0.5,0.5,0.36253580718273376,0.5,0.5,,,FUNDAMENTAL_RISK:NEGATIVE_EARNINGS; LOW_ALPHA
2026-01-05,000020,801080.SI,0.5093862610141818,WATCH,0.44,0.6,0.5,0.5,0.5,0.5359084067612123,0.5,0.5,,电子,FUNDAMENTAL_RISK:CASHFLOW_WEAK
2026-01-05,000021,,0.5099657648753165,WATCH,0.506,0.33,0.5,0.5,0.5,0.6757717658354436,0.5,0.5,,,NONE
2026-01-05,000025,,0.4587246579797251,NEUTRAL,0.412,0.18,0.5,0.5,0.5,0.4968310531981672,0.5,0.5,,,NONE
2026-01-05,000026,,0.426196799315751,AVOID,0.4,0.0,0.5,0.5,0.5,0.4079786621050063,0.5,0.5,,,FUNDAMENTAL_RISK:NEGATIVE_EARNINGS; LOW_ALPHA
