table_name,tier,exists_flag,object_type,row_count,min_trade_date,max_trade_date,distinct_trade_days,expected_key_columns,missing_key_columns,latest_lag_days,null_rate_summary,status,severity,recommendation
cn_stock_daily_price,P0_CRITICAL,Y,BASE TABLE,16717406,2000-01-04,2026-05-06,6379,"SYMBOL, TRADE_DATE, OPEN, HIGH, LOW, CLOSE, VOLUME, AMOUNT, CHG_PCT",,1,SYMBOL=0.0%; TRADE_DATE=0.0%; OPEN=0.0%; HIGH=0.0%; LOW=0.0%; CLOSE=0.0%; VOLUME=0.0%; AMOUNT=0.0%; CHG_PCT=0.00%,OK,CRITICAL,Table is healthy and up-to-date.
cn_index_daily_price,P0_CRITICAL,Y,BASE TABLE,29182,2010-01-04,2026-05-06,3964,"INDEX_CODE, TRADE_DATE, OPEN, CLOSE, HIGH, LOW, VOLUME, AMOUNT, PRE_CLOSE, CHG_PCT",,1,INDEX_CODE=0.0%; TRADE_DATE=0.0%; OPEN=0.00%; CLOSE=0.0%; HIGH=0.00%; LOW=0.00%; VOLUME=0.0%; AMOUNT=0.0%; PRE_CLOSE=0.03%; CHG_PCT=0.00%,OK,CRITICAL,Table is healthy and up-to-date.
cn_sw_industry_daily,P0_CRITICAL,Y,BASE TABLE,102090,2009-10-29,2026-05-06,4010,"ts_code, name, trade_date, close, amount",,1,ts_code=0.0%; name=0.0%; trade_date=0.0%; close=0.0%; amount=0.0%,OK,CRITICAL,Table is healthy and up-to-date.
cn_stock_monthly_basic,P0_CRITICAL,Y,BASE TABLE,737805,2008-01-31,2026-04-30,224,"symbol, trade_date, month_key, total_mv, circ_mv, pe_ttm, pb",,7,symbol=0.0%; trade_date=0.0%; month_key=0.0%; total_mv=0.0%; circ_mv=0.0%; pe_ttm=17.07%; pb=0.77%,OK,CRITICAL,Table is healthy and up-to-date.
cn_stock_fina_indicator,P0_CRITICAL,Y,BASE TABLE,255045,2008-03-31,2026-03-31,95,"symbol, end_date, ann_date, report_type, netprofit_yoy, q_profit_yoy, or_yoy, eps, roe, grossprofit_margin",,37,symbol=0.0%; end_date=0.0%; ann_date=0.00%; report_type=100.00%; netprofit_yoy=4.97%; q_profit_yoy=11.91%; or_yoy=5.27%; eps=4.33%; roe=1.74%; grossprofit_margin=3.04%,WARN,CRITICAL,High null rates on key columns: report_type=100.0%.
cn_stock_daily_basic,P1_IMPORTANT,Y,BASE TABLE,16808419,2000-01-04,2026-05-06,6379,"symbol, trade_date, pe_ttm, pb, total_mv, circ_mv, volume_ratio",,1,symbol=0.0%; trade_date=0.0%; pe_ttm=16.55%; pb=0.88%; total_mv=0.0%; circ_mv=0.0%; volume_ratio=0.15%,OK,WARN,Table is healthy and up-to-date.
cn_stock_leader_score_daily,P1_IMPORTANT,Y,BASE TABLE,11938438,2010-01-04,2026-04-30,3960,"trade_date, symbol, leader_score, leader_bucket",,7,trade_date=0.0%; symbol=0.0%; leader_score=0.0%; leader_bucket=0.0%,STALE,WARN,Latest data is 7 days behind as-of date (threshold: 5d).
cn_stock_leader_sw_l1_latest_snap,P1_IMPORTANT,Y,BASE TABLE,15501,2026-02-27,2026-05-06,3,"trade_date, symbol, leader_score, sw_l1_id",,1,trade_date=0.0%; symbol=0.0%; leader_score=0.0%; sw_l1_id=0.0%,OK,WARN,Table is healthy and up-to-date.
cn_stock_universe_status_t,P1_IMPORTANT,Y,BASE TABLE,6186,2001-04-13,2026-05-06,258,"symbol, is_active, last_trade_date",,1,symbol=0.0%; is_active=0.0%; last_trade_date=0.0%,OK,WARN,Table is healthy and up-to-date.
cn_board_member_map_d,P2_STRUCTURE,Y,BASE TABLE,41098956,2000-01-04,2026-05-06,6379,"trade_date, sector_type, sector_id, symbol",,1,trade_date=0.0%; sector_type=0.0%; sector_id=0.0%; symbol=0.0%,OK,WARN,Table is healthy and up-to-date.
